GeoFips,GeoName,Value
00998,United States,100
10180,"Abilene, TX (Metropolitan Statistical Area)",91.738
10420,"Akron, OH (Metropolitan Statistical Area)",92.059
10500,"Albany, GA (Metropolitan Statistical Area)",86.392
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",104.616
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",96.563
10740,"Albuquerque, NM (Metropolitan Statistical Area)",93.384
10780,"Alexandria, LA (Metropolitan Statistical Area)",86.169
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",98.047
11020,"Altoona, PA (Metropolitan Statistical Area)",89.014
11100,"Amarillo, TX (Metropolitan Statistical Area)",91.776
11180,"Ames, IA (Metropolitan Statistical Area)",88.45
11260,"Anchorage, AK (Metropolitan Statistical Area)",103.067
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",97.656
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",83.859
11540,"Appleton, WI (Metropolitan Statistical Area)",91.768
11700,"Asheville, NC (Metropolitan Statistical Area)",94.785
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",93.569
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",98.753
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",98.575
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",88.65
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",91.979
12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",98.826
12540,"Bakersfield, CA (Metropolitan Statistical Area)",104.502
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",102.428
12620,"Bangor, ME (Metropolitan Statistical Area)",96.826
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",109.068
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",92.454
12980,"Battle Creek, MI (Metropolitan Statistical Area)",89.292
13020,"Bay City, MI (Metropolitan Statistical Area)",88.042
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",91.289
13220,"Beckley, WV (Metropolitan Statistical Area)",88.268
13380,"Bellingham, WA (Metropolitan Statistical Area)",105.915
13460,"Bend, OR (Metropolitan Statistical Area)",107.969
13740,"Billings, MT (Metropolitan Statistical Area)",91.731
13780,"Binghamton, NY (Metropolitan Statistical Area)",91.966
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",91.159
13900,"Bismarck, ND (Metropolitan Statistical Area)",91.082
13980,"Blacksburg-Christiansburg, VA (Metropolitan Statistical Area)",93.086
14010,"Bloomington, IL (Metropolitan Statistical Area)",92.369
14020,"Bloomington, IN (Metropolitan Statistical Area)",92.955
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",89.142
14260,"Boise City, ID (Metropolitan Statistical Area)",94.215
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",111.954
14500,"Boulder, CO (Metropolitan Statistical Area)",99.892
14540,"Bowling Green, KY (Metropolitan Statistical Area)",89.294
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",108.755
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",109.815
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",85.427
15260,"Brunswick, GA (Metropolitan Statistical Area)",91.58
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",93.882
15500,"Burlington, NC (Metropolitan Statistical Area)",92.291
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",106.476
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",99.81
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",88.695
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",101.655
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",86.326
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",86.728
16180,"Carson City, NV (Metropolitan Statistical Area)",94.501
16220,"Casper, WY (Metropolitan Statistical Area)",92.145
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",90.017
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",93.893
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",91.31
16620,"Charleston, WV (Metropolitan Statistical Area)",88.566
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",99.102
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",96.888
16820,"Charlottesville, VA (Metropolitan Statistical Area)",97.608
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",92.528
16940,"Cheyenne, WY (Metropolitan Statistical Area)",94.094
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",105.744
17020,"Chico, CA (Metropolitan Statistical Area)",104.268
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",93.479
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",91.071
17420,"Cleveland, TN (Metropolitan Statistical Area)",89.234
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",93.073
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",93.704
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",92.621
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",96.836
17860,"Columbia, MO (Metropolitan Statistical Area)",88.002
17900,"Columbia, SC (Metropolitan Statistical Area)",93.64
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",89.511
18020,"Columbus, IN (Metropolitan Statistical Area)",90.194
18140,"Columbus, OH (Metropolitan Statistical Area)",94.013
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",93.604
18700,"Corvallis, OR (Metropolitan Statistical Area)",106.059
18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",97.94
19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",86.858
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",103.523
19140,"Dalton, GA (Metropolitan Statistical Area)",90.56
19180,"Danville, IL (Metropolitan Statistical Area)",87.8
19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",91.076
19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",88.878
19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",91.392
19460,"Decatur, AL (Metropolitan Statistical Area)",87.173
19500,"Decatur, IL (Metropolitan Statistical Area)",87.25
19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",98.779
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",107.394
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",92.09
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",96.134
20020,"Dothan, AL (Metropolitan Statistical Area)",84.978
20100,"Dover, DE (Metropolitan Statistical Area)",95.07
20220,"Dubuque, IA (Metropolitan Statistical Area)",86.442
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",88.613
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",96.607
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",94.278
20740,"Eau Claire, WI (Metropolitan Statistical Area)",91.057
20940,"El Centro, CA (Metropolitan Statistical Area)",100.135
21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",88.877
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",91.512
21300,"Elmira, NY (Metropolitan Statistical Area)",92.706
21340,"El Paso, TX (Metropolitan Statistical Area)",91.211
21420,"Enid, OK (Metropolitan Statistical Area) *",85.488
21500,"Erie, PA (Metropolitan Statistical Area)",90.686
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",104.649
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",88.831
21820,"Fairbanks, AK (Metropolitan Statistical Area)",98.629
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",87.927
22140,"Farmington, NM (Metropolitan Statistical Area)",88.427
22180,"Fayetteville, NC (Metropolitan Statistical Area)",91.398
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",90.72
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",95.511
22420,"Flint, MI (Metropolitan Statistical Area)",90.727
22500,"Florence, SC (Metropolitan Statistical Area)",88.244
22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",84.17
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",89.392
22660,"Fort Collins, CO (Metropolitan Statistical Area)",98.196
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",85.615
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",92.659
23420,"Fresno, CA (Metropolitan Statistical Area)",105.226
23460,"Gadsden, AL (Metropolitan Statistical Area)",81.903
23540,"Gainesville, FL (Metropolitan Statistical Area)",96.367
23580,"Gainesville, GA (Metropolitan Statistical Area)",96.943
23900,"Gettysburg, PA (Metropolitan Statistical Area)",95.464
24020,"Glens Falls, NY (Metropolitan Statistical Area)",92.394
24140,"Goldsboro, NC (Metropolitan Statistical Area)",89.671
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",86.785
24260,"Grand Island, NE (Metropolitan Statistical Area)",86.538
24300,"Grand Junction, CO (Metropolitan Statistical Area)",93.831
24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",94.159
24420,"Grants Pass, OR (Metropolitan Statistical Area)",102.762
24500,"Great Falls, MT (Metropolitan Statistical Area)",91.282
24540,"Greeley, CO (Metropolitan Statistical Area)",94.913
24580,"Green Bay, WI (Metropolitan Statistical Area)",90.46
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",92.708
24780,"Greenville, NC (Metropolitan Statistical Area)",88.504
24860,"Greenville-Anderson, SC (Metropolitan Statistical Area)",93.181
25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",88.919
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",93.486
25220,"Hammond, LA (Metropolitan Statistical Area)",89.364
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",102.367
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",95.909
25500,"Harrisonburg, VA (Metropolitan Statistical Area)",94.993
25540,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",104.949
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",89.008
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",89.778
25940,"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",99.318
25980,"Hinesville, GA (Metropolitan Statistical Area)",94.53
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",94.778
26300,"Hot Springs, AR (Metropolitan Statistical Area)",85.919
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",88.515
26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",98.762
26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",88.535
26620,"Huntsville, AL (Metropolitan Statistical Area)",92.684
26820,"Idaho Falls, ID (Metropolitan Statistical Area)",90.942
26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",93.708
26980,"Iowa City, IA (Metropolitan Statistical Area)",91.338
27060,"Ithaca, NY (Metropolitan Statistical Area)",98.711
27100,"Jackson, MI (Metropolitan Statistical Area)",91.318
27140,"Jackson, MS (Metropolitan Statistical Area)",90.365
27180,"Jackson, TN (Metropolitan Statistical Area)",86.84
27260,"Jacksonville, FL (Metropolitan Statistical Area)",98.476
27340,"Jacksonville, NC (Metropolitan Statistical Area)",92.578
27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",91.72
27620,"Jefferson City, MO (Metropolitan Statistical Area)",87.127
27740,"Johnson City, TN (Metropolitan Statistical Area)",87.454
27780,"Johnstown, PA (Metropolitan Statistical Area)",87.415
27860,"Jonesboro, AR (Metropolitan Statistical Area)",86.189
27900,"Joplin, MO (Metropolitan Statistical Area)",85.039
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",108.388
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",94.597
28100,"Kankakee, IL (Metropolitan Statistical Area)",91.987
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",92.149
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",104.431
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",91.588
28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area)",86.23
28740,"Kingston, NY (Metropolitan Statistical Area)",99.392
28940,"Knoxville, TN (Metropolitan Statistical Area)",91.336
29020,"Kokomo, IN (Metropolitan Statistical Area)",86.711
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",91.12
29180,"Lafayette, LA (Metropolitan Statistical Area)",89.685
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",91.913
29340,"Lake Charles, LA (Metropolitan Statistical Area)",89.547
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",92.846
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",96.231
29540,"Lancaster, PA (Metropolitan Statistical Area)",96.596
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",93.821
29700,"Laredo, TX (Metropolitan Statistical Area)",90.294
29740,"Las Cruces, NM (Metropolitan Statistical Area)",86.873
29820,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",96.526
29940,"Lawrence, KS (Metropolitan Statistical Area)",92.439
30020,"Lawton, OK (Metropolitan Statistical Area)",85.297
30140,"Lebanon, PA (Metropolitan Statistical Area)",92.98
30300,"Lewiston, ID-WA (Metropolitan Statistical Area)",85.247
30340,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",101.426
30460,"Lexington-Fayette, KY (Metropolitan Statistical Area)",91.22
30620,"Lima, OH (Metropolitan Statistical Area)",89.415
30700,"Lincoln, NE (Metropolitan Statistical Area)",92.01
30780,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",89.157
30860,"Logan, UT-ID (Metropolitan Statistical Area)",92.668
30980,"Longview, TX (Metropolitan Statistical Area)",86.926
31020,"Longview, WA (Metropolitan Statistical Area)",101.498
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",113.109
31140,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",92.312
31180,"Lubbock, TX (Metropolitan Statistical Area)",91.804
31340,"Lynchburg, VA (Metropolitan Statistical Area)",90.981
31420,"Macon-Bibb County, GA (Metropolitan Statistical Area)",90.379
31460,"Madera, CA (Metropolitan Statistical Area)",103.086
31540,"Madison, WI (Metropolitan Statistical Area)",95.321
31700,"Manchester-Nashua, NH (Metropolitan Statistical Area)",107.956
31740,"Manhattan, KS (Metropolitan Statistical Area)",89.76
31860,"Mankato, MN (Metropolitan Statistical Area)",89.125
31900,"Mansfield, OH (Metropolitan Statistical Area)",87.65
32580,"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",86.929
32780,"Medford, OR (Metropolitan Statistical Area)",105.692
32820,"Memphis, TN-MS-AR (Metropolitan Statistical Area)",91.842
32900,"Merced, CA (Metropolitan Statistical Area)",102.985
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",111.512
33140,"Michigan City-La Porte, IN (Metropolitan Statistical Area)",88.513
33220,"Midland, MI (Metropolitan Statistical Area)",88.042
33260,"Midland, TX (Metropolitan Statistical Area)",96.007
33340,"Milwaukee-Waukesha, WI (Metropolitan Statistical Area)",94.926
33460,"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",102.948
33540,"Missoula, MT (Metropolitan Statistical Area)",90.237
33660,"Mobile, AL (Metropolitan Statistical Area)",87.34
33700,"Modesto, CA (Metropolitan Statistical Area)",105.953
33740,"Monroe, LA (Metropolitan Statistical Area)",86.975
33780,"Monroe, MI (Metropolitan Statistical Area)",93.111
33860,"Montgomery, AL (Metropolitan Statistical Area)",89.642
34060,"Morgantown, WV (Metropolitan Statistical Area)",92.477
34100,"Morristown, TN (Metropolitan Statistical Area)",87.653
34580,"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",105.723
34620,"Muncie, IN (Metropolitan Statistical Area)",88.143
34740,"Muskegon, MI (Metropolitan Statistical Area)",91.659
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",94.292
34900,"Napa, CA (Metropolitan Statistical Area)",112.886
34940,"Naples-Marco Island, FL (Metropolitan Statistical Area)",102.51
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",96.579
35100,"New Bern, NC (Metropolitan Statistical Area)",91.007
35300,"New Haven-Milford, CT (Metropolitan Statistical Area)",105.366
35380,"New Orleans-Metairie, LA (Metropolitan Statistical Area)",93.635
35620,"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",113.048
35660,"Niles, MI (Metropolitan Statistical Area)",87.928
35840,"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",101.441
35980,"Norwich-New London, CT (Metropolitan Statistical Area)",103.971
36100,"Ocala, FL (Metropolitan Statistical Area)",94.113
36140,"Ocean City, NJ (Metropolitan Statistical Area)",103.223
36220,"Odessa, TX (Metropolitan Statistical Area)",94.193
36260,"Ogden-Clearfield, UT (Metropolitan Statistical Area)",94.192
36420,"Oklahoma City, OK (Metropolitan Statistical Area)",91.351
36500,"Olympia-Lacey-Tumwater, WA (Metropolitan Statistical Area)",107.417
36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",92.073
36740,"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",100.407
36780,"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",91.222
36980,"Owensboro, KY (Metropolitan Statistical Area)",88.322
37100,"Oxnard-Thousand Oaks-Ventura, CA (Metropolitan Statistical Area)",114.395
37340,"Palm Bay-Melbourne-Titusville, FL (Metropolitan Statistical Area)",99.337
37460,"Panama City, FL (Metropolitan Statistical Area)",97.522
37620,"Parkersburg-Vienna, WV (Metropolitan Statistical Area)",87.246
37860,"Pensacola-Ferry Pass-Brent, FL (Metropolitan Statistical Area)",95.497
37900,"Peoria, IL (Metropolitan Statistical Area)",89.767
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Metropolitan Statistical Area)",100.689
38060,"Phoenix-Mesa-Chandler, AZ (Metropolitan Statistical Area)",103.683
38220,"Pine Bluff, AR (Metropolitan Statistical Area)",80.876
38300,"Pittsburgh, PA (Metropolitan Statistical Area)",93.854
38340,"Pittsfield, MA (Metropolitan Statistical Area)",100.389
38540,"Pocatello, ID (Metropolitan Statistical Area)",87.387
38860,"Portland-South Portland, ME (Metropolitan Statistical Area)",104.881
38900,"Portland-Vancouver-Hillsboro, OR-WA (Metropolitan Statistical Area)",108.756
38940,"Port St. Lucie, FL (Metropolitan Statistical Area)",98.32
39100,"Poughkeepsie-Newburgh-Middletown, NY (Metropolitan Statistical Area) *",109.965
39150,"Prescott Valley-Prescott, AZ (Metropolitan Statistical Area)",92.73
39300,"Providence-Warwick, RI-MA (Metropolitan Statistical Area)",103.921
39340,"Provo-Orem, UT (Metropolitan Statistical Area)",94.781
39380,"Pueblo, CO (Metropolitan Statistical Area)",90.497
39460,"Punta Gorda, FL (Metropolitan Statistical Area)",95.99
39540,"Racine, WI (Metropolitan Statistical Area)",90.804
39580,"Raleigh-Cary, NC (Metropolitan Statistical Area)",98.379
39660,"Rapid City, SD (Metropolitan Statistical Area)",90.702
39740,"Reading, PA (Metropolitan Statistical Area)",96.305
39820,"Redding, CA (Metropolitan Statistical Area)",103.756
39900,"Reno, NV (Metropolitan Statistical Area)",98.279
40060,"Richmond, VA (Metropolitan Statistical Area)",97.691
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",106.43
40220,"Roanoke, VA (Metropolitan Statistical Area)",92.359
40340,"Rochester, MN (Metropolitan Statistical Area)",92.124
40380,"Rochester, NY (Metropolitan Statistical Area)",95.21
40420,"Rockford, IL (Metropolitan Statistical Area)",90.572
40580,"Rocky Mount, NC (Metropolitan Statistical Area)",87.777
40660,"Rome, GA (Metropolitan Statistical Area)",91.018
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",109.88
40980,"Saginaw, MI (Metropolitan Statistical Area)",86.993
41060,"St. Cloud, MN (Metropolitan Statistical Area)",91.852
41100,"St. George, UT (Metropolitan Statistical Area)",94.771
41140,"St. Joseph, MO-KS (Metropolitan Statistical Area)",87.246
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",96.671
41420,"Salem, OR (Metropolitan Statistical Area)",104.786
41500,"Salinas, CA (Metropolitan Statistical Area)",113.064
41540,"Salisbury, MD-DE (Metropolitan Statistical Area)",95.237
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",95.675
41660,"San Angelo, TX (Metropolitan Statistical Area)",92.698
41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",95.106
41740,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",114.511
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",117.895
41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",115.257
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",112.597
42100,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",114.697
42140,"Santa Fe, NM (Metropolitan Statistical Area)",94.906
42200,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",113.945
42220,"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",112.495
42340,"Savannah, GA (Metropolitan Statistical Area)",96.25
42540,"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",91.903
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",113.676
42680,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",95.44
42700,"Sebring-Avon Park, FL (Metropolitan Statistical Area)",90.191
43100,"Sheboygan, WI (Metropolitan Statistical Area)",89.578
43300,"Sherman-Denison, TX (Metropolitan Statistical Area)",92.635
43340,"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",88.892
43420,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",88.232
43580,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",87.777
43620,"Sioux Falls, SD (Metropolitan Statistical Area)",90.247
43780,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",92.188
43900,"Spartanburg, SC (Metropolitan Statistical Area)",91.63
44060,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",102.671
44100,"Springfield, IL (Metropolitan Statistical Area)",89.579
44140,"Springfield, MA (Metropolitan Statistical Area)",99.475
44180,"Springfield, MO (Metropolitan Statistical Area)",86.888
44220,"Springfield, OH (Metropolitan Statistical Area)",88.688
44300,"State College, PA (Metropolitan Statistical Area)",96.473
44420,"Staunton, VA (Metropolitan Statistical Area)",91.481
44700,"Stockton, CA (Metropolitan Statistical Area)",108.54
44940,"Sumter, SC (Metropolitan Statistical Area)",88.418
45060,"Syracuse, NY (Metropolitan Statistical Area)",93.416
45220,"Tallahassee, FL (Metropolitan Statistical Area)",94.516
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",99.701
45460,"Terre Haute, IN (Metropolitan Statistical Area)",86.856
45500,"Texarkana, TX-AR (Metropolitan Statistical Area)",85.192
45540,"The Villages, FL (Metropolitan Statistical Area)",91.398
45780,"Toledo, OH (Metropolitan Statistical Area)",90.185
45820,"Topeka, KS (Metropolitan Statistical Area)",87.779
45940,"Trenton-Princeton, NJ (Metropolitan Statistical Area)",100.809
46060,"Tucson, AZ (Metropolitan Statistical Area)",93.814
46140,"Tulsa, OK (Metropolitan Statistical Area)",90.533
46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",86.972
46300,"Twin Falls, ID (Metropolitan Statistical Area) *",90.902
46340,"Tyler, TX (Metropolitan Statistical Area)",92.25
46520,"Urban Honolulu, HI (Metropolitan Statistical Area)",112.85
46540,"Utica-Rome, NY (Metropolitan Statistical Area)",89.649
46660,"Valdosta, GA (Metropolitan Statistical Area)",89.826
46700,"Vallejo, CA (Metropolitan Statistical Area)",112.587
47020,"Victoria, TX (Metropolitan Statistical Area)",91.167
47220,"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",92.797
47260,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area)",97.962
47300,"Visalia, CA (Metropolitan Statistical Area)",102.396
47380,"Waco, TX (Metropolitan Statistical Area)",93.369
47460,"Walla Walla, WA (Metropolitan Statistical Area)",100.733
47580,"Warner Robins, GA (Metropolitan Statistical Area)",92.729
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area)",111.316
47940,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",87.924
48060,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",93.789
48140,"Wausau-Weston, WI (Metropolitan Statistical Area)",90.482
48260,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",89.067
48300,"Wenatchee, WA (Metropolitan Statistical Area)",103.161
48540,"Wheeling, WV-OH (Metropolitan Statistical Area)",89.244
48620,"Wichita, KS (Metropolitan Statistical Area)",89.166
48660,"Wichita Falls, TX (Metropolitan Statistical Area)",88.723
48700,"Williamsport, PA (Metropolitan Statistical Area)",89.706
48900,"Wilmington, NC (Metropolitan Statistical Area)",97.047
49020,"Winchester, VA-WV (Metropolitan Statistical Area)",95.981
49180,"Winston-Salem, NC (Metropolitan Statistical Area)",92.387
49340,"Worcester, MA-CT (Metropolitan Statistical Area)",105.084
49420,"Yakima, WA (Metropolitan Statistical Area)",100.972
49620,"York-Hanover, PA (Metropolitan Statistical Area)",95.575
49660,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",86.64
49700,"Yuba City, CA (Metropolitan Statistical Area)",102.722
49740,"Yuma, AZ (Metropolitan Statistical Area)",86.103
