"Label (Grouping)","Total"
"Albany-Schenectady, NY CSA",""
"    Estimate","1,169,019"
"    Margin of Error","*****"
"Albuquerque-Santa Fe-Las Vegas, NM CSA",""
"    Estimate","1,156,289"
"    Margin of Error","*****"
"Altoona-Huntingdon, PA CSA",""
"    Estimate","167,640"
"    Margin of Error","±3"
"Amarillo-Pampa-Borger, TX CSA",""
"    Estimate","308,297"
"    Margin of Error","*****"
"Appleton-Oshkosh-Neenah, WI CSA",""
"    Estimate","407,758"
"    Margin of Error","*****"
"Asheville-Marion-Brevard, NC CSA",""
"    Estimate","538,785"
"    Margin of Error","*****"
"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL CSA",""
"    Estimate","6,770,764"
"    Margin of Error","±22"
"Bend-Prineville, OR CSA",""
"    Estimate","215,482"
"    Margin of Error","*****"
"Birmingham-Hoover-Talladega, AL CSA",""
"    Estimate","1,315,561"
"    Margin of Error","*****"
"Bloomington-Bedford, IN CSA",""
"    Estimate","213,724"
"    Margin of Error","*****"
"Bloomington-Pontiac, IL CSA",""
"    Estimate","207,921"
"    Margin of Error","*****"
"Bloomsburg-Berwick-Sunbury, PA CSA",""
"    Estimate","260,085"
"    Margin of Error","*****"
"Boise City-Mountain Home-Ontario, ID-OR CSA",""
"    Estimate","811,863"
"    Margin of Error","*****"
"Boston-Worcester-Providence, MA-RI-NH-CT CSA",""
"    Estimate","8,260,105"
"    Margin of Error","*****"
"Bowling Green-Glasgow, KY CSA",""
"    Estimate","230,940"
"    Margin of Error","*****"
"Brownsville-Harlingen-Raymondville, TX CSA",""
"    Estimate","443,554"
"    Margin of Error","*****"
"Buffalo-Cheektowaga-Olean, NY CSA",""
"    Estimate","1,205,768"
"    Margin of Error","*****"
"Burlington-Fort Madison-Keokuk, IA-IL-MO CSA",""
"    Estimate","104,513"
"    Margin of Error","*****"
"Burlington-South Burlington-Barre, VT CSA",""
"    Estimate","278,100"
"    Margin of Error","*****"
"Cape Coral-Fort Myers-Naples, FL CSA",""
"    Estimate","1,177,387"
"    Margin of Error","*****"
"Cape Girardeau-Sikeston, MO-IL CSA",""
"    Estimate","135,564"
"    Margin of Error","*****"
"Cedar Rapids-Iowa City, IA CSA",""
"    Estimate","444,653"
"    Margin of Error","*****"
"Charleston-Huntington-Ashland, WV-OH-KY CSA",""
"    Estimate","785,130"
"    Margin of Error","*****"
"Charlotte-Concord, NC-SC CSA",""
"    Estimate","2,754,842"
"    Margin of Error","*****"
"Chattanooga-Cleveland-Dalton, TN-GA CSA",""
"    Estimate","997,635"
"    Margin of Error","*****"
"Chicago-Naperville, IL-IN-WI CSA",""
"    Estimate","9,846,347"
"    Margin of Error","*****"
"Cincinnati-Wilmington-Maysville, OH-KY-IN CSA",""
"    Estimate","2,273,387"
"    Margin of Error","*****"
"Cleveland-Akron-Canton, OH CSA",""
"    Estimate","3,593,468"
"    Margin of Error","*****"
"Cleveland-Indianola, MS CSA",""
"    Estimate","57,012"
"    Margin of Error","*****"
"Clovis-Portales, NM CSA",""
"    Estimate","68,225"
"    Margin of Error","*****"
"Columbia-Moberly-Mexico, MO CSA",""
"    Estimate","257,353"
"    Margin of Error","*****"
"Columbia-Orangeburg-Newberry, SC CSA",""
"    Estimate","958,207"
"    Margin of Error","*****"
"Columbus-Auburn-Opelika, GA-AL CSA",""
"    Estimate","483,104"
"    Margin of Error","*****"
"Columbus-Marion-Zanesville, OH CSA",""
"    Estimate","2,504,267"
"    Margin of Error","*****"
"Columbus-West Point, MS CSA",""
"    Estimate","78,411"
"    Margin of Error","*****"
"Corpus Christi-Kingsville-Alice, TX CSA",""
"    Estimate","536,446"
"    Margin of Error","±174"
"Dallas-Fort Worth, TX-OK CSA",""
"    Estimate","7,928,445"
"    Margin of Error","*****"
"Davenport-Moline, IA-IL CSA",""
"    Estimate","469,711"
"    Margin of Error","*****"
"Dayton-Springfield-Kettering, OH CSA",""
"    Estimate","1,079,196"
"    Margin of Error","*****"
"Denver-Aurora, CO CSA",""
"    Estimate","3,568,508"
"    Margin of Error","*****"
"DeRidder-Fort Polk South, LA CSA",""
"    Estimate","86,702"
"    Margin of Error","*****"
"Des Moines-Ames-West Des Moines, IA CSA",""
"    Estimate","869,865"
"    Margin of Error","*****"
"Detroit-Warren-Ann Arbor, MI CSA",""
"    Estimate","5,340,849"
"    Margin of Error","*****"
"Dixon-Sterling, IL CSA",""
"    Estimate","89,787"
"    Margin of Error","*****"
"Dothan-Ozark, AL CSA",""
"    Estimate","198,118"
"    Margin of Error","*****"
"Eau Claire-Menomonie, WI CSA",""
"    Estimate","213,336"
"    Margin of Error","*****"
"Edwards-Glenwood Springs, CO CSA",""
"    Estimate","132,545"
"    Margin of Error","*****"
"Elmira-Corning, NY CSA",""
"    Estimate","179,958"
"    Margin of Error","*****"
"El Paso-Las Cruces, TX-NM CSA",""
"    Estimate","1,059,298"
"    Margin of Error","*****"
"Erie-Meadville, PA CSA",""
"    Estimate","357,120"
"    Margin of Error","*****"
"Fargo-Wahpeton, ND-MN CSA",""
"    Estimate","266,475"
"    Margin of Error","*****"
"Fayetteville-Sanford-Lumberton, NC CSA",""
"    Estimate","850,403"
"    Margin of Error","±48"
"Fort Wayne-Huntington-Auburn, IN CSA",""
"    Estimate","634,748"
"    Margin of Error","*****"
"Fresno-Madera-Hanford, CA CSA",""
"    Estimate","1,297,219"
"    Margin of Error","*****"
"Gainesville-Lake City, FL CSA",""
"    Estimate","398,227"
"    Margin of Error","*****"
"Grand Rapids-Kentwood-Muskegon, MI CSA",""
"    Estimate","1,403,960"
"    Margin of Error","*****"
"Green Bay-Shawano, WI CSA",""
"    Estimate","366,206"
"    Margin of Error","*****"
"Greensboro--Winston-Salem--High Point, NC CSA",""
"    Estimate","1,676,671"
"    Margin of Error","*****"
"Greenville-Kinston-Washington, NC CSA",""
"    Estimate","283,471"
"    Margin of Error","*****"
"Greenville-Spartanburg-Anderson, SC CSA",""
"    Estimate","1,455,892"
"    Margin of Error","*****"
"Harrisburg-York-Lebanon, PA CSA",""
"    Estimate","1,265,356"
"    Margin of Error","*****"
"Harrisonburg-Staunton, VA CSA",""
"    Estimate","257,410"
"    Margin of Error","*****"
"Hartford-East Hartford, CT CSA",""
"    Estimate","1,472,710"
"    Margin of Error","*****"
"Hattiesburg-Laurel, MS CSA",""
"    Estimate","253,407"
"    Margin of Error","*****"
"Hot Springs-Malvern, AR CSA",""
"    Estimate","132,710"
"    Margin of Error","*****"
"Houston-The Woodlands, TX CSA",""
"    Estimate","7,165,646"
"    Margin of Error","*****"
"Huntsville-Decatur, AL CSA",""
"    Estimate","616,928"
"    Margin of Error","*****"
"Idaho Falls-Rexburg-Blackfoot, ID CSA",""
"    Estimate","247,893"
"    Margin of Error","*****"
"Indianapolis-Carmel-Muncie, IN CSA",""
"    Estimate","2,433,430"
"    Margin of Error","*****"
"Ithaca-Cortland, NY CSA",""
"    Estimate","149,855"
"    Margin of Error","*****"
"Jackson-Brownsville, TN CSA",""
"    Estimate","195,992"
"    Margin of Error","*****"
"Jackson-Vicksburg-Brookhaven, MS CSA",""
"    Estimate","676,514"
"    Margin of Error","*****"
"Jacksonville-St. Marys-Palatka, FL-GA CSA",""
"    Estimate","1,661,540"
"    Margin of Error","*****"
"Johnson City-Kingsport-Bristol, TN-VA CSA",""
"    Estimate","510,414"
"    Margin of Error","*****"
"Johnstown-Somerset, PA CSA",""
"    Estimate","205,455"
"    Margin of Error","±3"
"Jonesboro-Paragould, AR CSA",""
"    Estimate","178,025"
"    Margin of Error","*****"
"Joplin-Miami, MO-OK CSA",""
"    Estimate","210,099"
"    Margin of Error","*****"
"Kalamazoo-Battle Creek-Portage, MI CSA",""
"    Estimate","502,482"
"    Margin of Error","*****"
"Kansas City-Overland Park-Kansas City, MO-KS CSA",""
"    Estimate","2,486,180"
"    Margin of Error","*****"
"Kennewick-Richland-Walla Walla, WA CSA",""
"    Estimate","355,181"
"    Margin of Error","*****"
"Kerrville-Fredericksburg, TX CSA",""
"    Estimate","78,863"
"    Margin of Error","*****"
"Knoxville-Morristown-Sevierville, TN CSA",""
"    Estimate","1,137,585"
"    Margin of Error","*****"
"Kokomo-Peru, IN CSA",""
"    Estimate","118,170"
"    Margin of Error","*****"
"Lafayette-Opelousas-Morgan City, LA CSA",""
"    Estimate","623,026"
"    Margin of Error","*****"
"Lafayette-West Lafayette-Frankfort, IN CSA",""
"    Estimate","262,539"
"    Margin of Error","*****"
"Lake Charles-Jennings, LA CSA",""
"    Estimate","241,246"
"    Margin of Error","*****"
"Las Vegas-Henderson, NV CSA",""
"    Estimate","2,274,380"
"    Margin of Error","*****"
"Lexington-Fayette--Richmond--Frankfort, KY CSA",""
"    Estimate","740,800"
"    Margin of Error","*****"
"Lima-Van Wert-Celina, OH CSA",""
"    Estimate","217,764"
"    Margin of Error","*****"
"Lincoln-Beatrice, NE CSA",""
"    Estimate","354,741"
"    Margin of Error","*****"
"Little Rock-North Little Rock, AR CSA",""
"    Estimate","908,791"
"    Margin of Error","*****"
"Los Angeles-Long Beach, CA CSA",""
"    Estimate","18,657,022"
"    Margin of Error","*****"
"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN CSA",""
"    Estimate","1,484,262"
"    Margin of Error","*****"
"Lubbock-Plainview-Levelland, TX CSA",""
"    Estimate","376,480"
"    Margin of Error","*****"
"Macon-Bibb County--Warner Robins, GA CSA",""
"    Estimate","412,384"
"    Margin of Error","*****"
"Madison-Janesville-Beloit, WI CSA",""
"    Estimate","886,896"
"    Margin of Error","*****"
"Mankato-New Ulm, MN CSA",""
"    Estimate","126,620"
"    Margin of Error","*****"
"Mansfield-Ashland-Bucyrus, OH CSA",""
"    Estimate","216,179"
"    Margin of Error","*****"
"Marinette-Iron Mountain, WI-MI CSA",""
"    Estimate","92,899"
"    Margin of Error","*****"
"Martin-Union City, TN CSA",""
"    Estimate","63,720"
"    Margin of Error","*****"
"Mayagüez-San Germán, PR CSA",""
"    Estimate","220,517"
"    Margin of Error","*****"
"McAllen-Edinburg, TX CSA",""
"    Estimate","925,169"
"    Margin of Error","*****"
"Medford-Grants Pass, OR CSA",""
"    Estimate","305,878"
"    Margin of Error","*****"
"Memphis-Forrest City, TN-MS-AR CSA",""
"    Estimate","1,368,627"
"    Margin of Error","*****"
"Miami-Port St. Lucie-Fort Lauderdale, FL CSA",""
"    Estimate","6,843,293"
"    Margin of Error","*****"
"Midland-Odessa, TX CSA",""
"    Estimate","338,981"
"    Margin of Error","*****"
"Milwaukee-Racine-Waukesha, WI CSA",""
"    Estimate","2,048,181"
"    Margin of Error","*****"
"Minneapolis-St. Paul, MN-WI CSA",""
"    Estimate","3,991,091"
"    Margin of Error","*****"
"Mobile-Daphne-Fairhope, AL CSA",""
"    Estimate","648,602"
"    Margin of Error","*****"
"Monroe-Ruston, LA CSA",""
"    Estimate","249,256"
"    Margin of Error","*****"
"Montgomery-Selma-Alexander City, AL CSA",""
"    Estimate","462,882"
"    Margin of Error","*****"
"Morgantown-Fairmont, WV CSA",""
"    Estimate","196,039"
"    Margin of Error","*****"
"Moses Lake-Othello, WA CSA",""
"    Estimate","116,350"
"    Margin of Error","*****"
"Mount Pleasant-Alma, MI CSA",""
"    Estimate","111,055"
"    Margin of Error","*****"
"Myrtle Beach-Conway, SC-NC CSA",""
"    Estimate","543,639"
"    Margin of Error","*****"
"Nashville-Davidson--Murfreesboro, TN CSA",""
"    Estimate","2,030,611"
"    Margin of Error","*****"
"New Bern-Morehead City, NC CSA",""
"    Estimate","193,717"
"    Margin of Error","*****"
"New Orleans-Metairie-Hammond, LA-MS CSA",""
"    Estimate","1,507,241"
"    Margin of Error","*****"
"New York-Newark, NY-NJ-CT-PA CSA",""
"    Estimate","22,633,633"
"    Margin of Error","*****"
"North Port-Sarasota, FL CSA",""
"    Estimate","1,044,910"
"    Margin of Error","*****"
"Oklahoma City-Shawnee, OK CSA",""
"    Estimate","1,469,551"
"    Margin of Error","*****"
"Omaha-Council Bluffs-Fremont, NE-IA CSA",""
"    Estimate","976,728"
"    Margin of Error","*****"
"Orlando-Lakeland-Deltona, FL CSA",""
"    Estimate","4,081,921"
"    Margin of Error","*****"
"Paducah-Mayfield, KY-IL CSA",""
"    Estimate","133,737"
"    Margin of Error","*****"
"Parkersburg-Marietta-Vienna, WV-OH CSA",""
"    Estimate","150,368"
"    Margin of Error","*****"
"Pensacola-Ferry Pass, FL-AL CSA",""
"    Estimate","533,053"
"    Margin of Error","*****"
"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",""
"    Estimate","7,198,025"
"    Margin of Error","*****"
"Phoenix-Mesa, AZ CSA",""
"    Estimate","4,914,184"
"    Margin of Error","*****"
"Pittsburgh-New Castle-Weirton, PA-OH-WV CSA",""
"    Estimate","2,612,281"
"    Margin of Error","*****"
"Ponce-Yauco-Coamo, PR CSA",""
"    Estimate","368,881"
"    Margin of Error","*****"
"Portland-Lewiston-South Portland, ME CSA",""
"    Estimate","644,272"
"    Margin of Error","*****"
"Portland-Vancouver-Salem, OR-WA CSA",""
"    Estimate","3,229,029"
"    Margin of Error","*****"
"Pueblo-Cañon City, CO CSA",""
"    Estimate","215,137"
"    Margin of Error","*****"
"Pullman-Moscow, WA-ID CSA",""
"    Estimate","89,629"
"    Margin of Error","*****"
"Quincy-Hannibal, IL-MO CSA",""
"    Estimate","114,398"
"    Margin of Error","*****"
"Raleigh-Durham-Cary, NC CSA",""
"    Estimate","2,043,867"
"    Margin of Error","±48"
"Rapid City-Spearfish, SD CSA",""
"    Estimate","166,459"
"    Margin of Error","*****"
"Redding-Red Bluff, CA CSA",""
"    Estimate","243,443"
"    Margin of Error","*****"
"Reno-Carson City-Fernley, NV CSA",""
"    Estimate","627,665"
"    Margin of Error","*****"
"Richmond-Connersville, IN CSA",""
"    Estimate","89,244"
"    Margin of Error","*****"
"Rochester-Austin, MN CSA",""
"    Estimate","259,779"
"    Margin of Error","*****"
"Rochester-Batavia-Seneca Falls, NY CSA",""
"    Estimate","1,163,633"
"    Margin of Error","*****"
"Rockford-Freeport-Rochelle, IL CSA",""
"    Estimate","432,404"
"    Margin of Error","*****"
"Rocky Mount-Wilson-Roanoke Rapids, NC CSA",""
"    Estimate","298,285"
"    Margin of Error","*****"
"Sacramento-Roseville, CA CSA",""
"    Estimate","2,612,122"
"    Margin of Error","*****"
"Saginaw-Midland-Bay City, MI CSA",""
"    Estimate","378,117"
"    Margin of Error","*****"
"St. Louis-St. Charles-Farmington, MO-IL CSA",""
"    Estimate","2,910,526"
"    Margin of Error","*****"
"Salisbury-Cambridge, MD-DE CSA",""
"    Estimate","443,131"
"    Margin of Error","*****"
"Salt Lake City-Provo-Orem, UT CSA",""
"    Estimate","2,596,765"
"    Margin of Error","*****"
"San Antonio-New Braunfels-Pearsall, TX CSA",""
"    Estimate","2,530,224"
"    Margin of Error","*****"
"San Jose-San Francisco-Oakland, CA CSA",""
"    Estimate","9,619,738"
"    Margin of Error","*****"
"San Juan-Bayamón, PR CSA",""
"    Estimate","2,341,054"
"    Margin of Error","*****"
"Savannah-Hinesville-Statesboro, GA CSA",""
"    Estimate","579,164"
"    Margin of Error","*****"
"Scottsboro-Fort Payne, AL CSA",""
"    Estimate","123,195"
"    Margin of Error","*****"
"Seattle-Tacoma, WA CSA",""
"    Estimate","4,838,526"
"    Margin of Error","*****"
"Shreveport-Bossier City-Minden, LA CSA",""
"    Estimate","436,403"
"    Margin of Error","*****"
"South Bend-Elkhart-Mishawaka, IN-MI CSA",""
"    Estimate","806,967"
"    Margin of Error","*****"
"Spencer-Spirit Lake, IA CSA",""
"    Estimate","33,398"
"    Margin of Error","*****"
"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA",""
"    Estimate","720,311"
"    Margin of Error","*****"
"Springfield-Jacksonville-Lincoln, IL CSA",""
"    Estimate","308,741"
"    Margin of Error","*****"
"State College-DuBois, PA CSA",""
"    Estimate","241,730"
"    Margin of Error","*****"
"Steamboat Springs-Craig, CO CSA",""
"    Estimate","38,467"
"    Margin of Error","*****"
"Syracuse-Auburn, NY CSA",""
"    Estimate","727,169"
"    Margin of Error","*****"
"Toledo-Findlay-Tiffin, OH CSA",""
"    Estimate","833,541"
"    Margin of Error","*****"
"Tucson-Nogales, AZ CSA",""
"    Estimate","1,085,070"
"    Margin of Error","*****"
"Tulsa-Muskogee-Bartlesville, OK CSA",""
"    Estimate","1,116,587"
"    Margin of Error","*****"
"Tupelo-Corinth, MS CSA",""
"    Estimate","202,909"
"    Margin of Error","*****"
"Tyler-Jacksonville, TX CSA",""
"    Estimate","282,525"
"    Margin of Error","*****"
"Victoria-Port Lavaca, TX CSA",""
"    Estimate","121,092"
"    Margin of Error","*****"
"Virginia Beach-Norfolk, VA-NC CSA",""
"    Estimate","1,858,942"
"    Margin of Error","*****"
"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA",""
"    Estimate","9,781,219"
"    Margin of Error","*****"
"Wausau-Stevens Point-Wisconsin Rapids, WI CSA",""
"    Estimate","306,886"
"    Margin of Error","*****"
"Wichita-Winfield, KS CSA",""
"    Estimate","674,758"
"    Margin of Error","*****"
"Williamsport-Lock Haven, PA CSA",""
"    Estimate","152,563"
"    Margin of Error","*****"
"Youngstown-Warren, OH-PA CSA",""
"    Estimate","640,629"
"    Margin of Error","*****"